date,baseline_rank_ic,macro_hinge_x_asset_beta_ridge_rank_ic,macro_hinge_x_asset_beta_elasticnet_rank_ic,us_sector_hinge_x_sector_exposure_ridge_rank_ic,us_sector_hinge_x_sector_exposure_elasticnet_rank_ic,regime_hinge_x_base_signal_ridge_rank_ic,regime_hinge_x_base_signal_elasticnet_rank_ic,gap_hinge_asset_specific_ridge_rank_ic,gap_hinge_asset_specific_elasticnet_rank_ic,combined_interaction_ridge_rank_ic,combined_interaction_elasticnet_rank_ic
2010-11-12,0.5148387480626735,0.5148387480626735,0.5148387480626735,0.4409324557617058,0.4133741772765992,0.5148387480626735,0.5148387480626735,0.5148387480626735,0.5148387480626735,0.5148387480626735,0.5148387480626735
2010-11-15,0.2509001552457287,0.2509001552457287,0.2509001552457287,0.2509001552457287,0.2509001552457287,0.2509001552457287,0.2509001552457287,0.2509001552457287,0.2509001552457287,0.2509001552457287,0.2509001552457287
2010-11-16,0.27559985423226324,0.27559985423226324,0.27559985423226324,0.254897517764112,0.23031349320818242,0.27559985423226324,0.27559985423226324,0.27559985423226324,0.27559985423226324,0.3001838787881928,0.27559985423226324
2010-11-17,0.31846487764924103,0.31846487764924103,0.31846487764924103,0.31846487764924103,0.31846487764924103,0.31846487764924103,0.31846487764924103,0.31581100366883064,0.31846487764924103,0.30254163376677895,0.31846487764924103
2010-11-18,0.2630475418284616,0.2630475418284616,0.23575015541230052,0.33501337874379544,0.33501337874379544,0.2630475418284616,0.2630475418284616,0.2630475418284616,0.2630475418284616,0.2630475418284616,0.2630475418284616
2010-11-19,0.35486602341009443,0.35486602341009443,0.35486602341009443,0.35486602341009443,0.35486602341009443,0.35486602341009443,0.35486602341009443,0.3697555069098187,0.35486602341009443,0.35238444282680703,0.35486602341009443
2010-11-22,0.29530808941119746,0.29530808941119746,0.29530808941119746,0.29530808941119746,0.29530808941119746,0.29530808941119746,0.29530808941119746,0.29530808941119746,0.29530808941119746,0.29530808941119746,0.29530808941119746
2010-11-24,0.42158602695271474,0.42158602695271474,0.42158602695271474,0.42158602695271474,0.42158602695271474,0.42158602695271474,0.42158602695271474,0.43174472639735845,0.42158602695271474,0.4165066772303928,0.42158602695271474
2010-11-25,-0.11677045513805502,-0.11677045513805502,-0.11677045513805502,-0.11677045513805502,-0.11677045513805502,-0.11677045513805502,-0.11677045513805502,-0.12473207707928606,-0.11677045513805502,-0.12473207707928606,-0.11677045513805502
2010-11-29,0.34712424448199464,0.34712424448199464,0.34712424448199464,0.36496066811150424,0.36496066811150424,0.34712424448199464,0.34712424448199464,0.34712424448199464,0.34712424448199464,0.34712424448199464,0.34712424448199464
2010-11-30,0.5158842526688932,0.5158842526688932,0.5158842526688932,0.47197920988856185,0.48981563351807145,0.5158842526688932,0.5158842526688932,0.5158842526688932,0.5158842526688932,0.5158842526688932,0.5158842526688932
2010-12-01,-0.0803007899751981,-0.0803007899751981,-0.0803007899751981,-0.18067677744419572,-0.19788408958173817,-0.0803007899751981,-0.0803007899751981,-0.0803007899751981,-0.0803007899751981,-0.0803007899751981,-0.0803007899751981
2010-12-02,0.4246480184750519,0.4246480184750519,0.43341656162940395,0.46097484011451056,0.46097484011451056,0.4246480184750519,0.4246480184750519,0.43341656162940395,0.4246480184750519,0.43341656162940395,0.4246480184750519
2010-12-03,0.564138668757121,0.564138668757121,0.564138668757121,0.564138668757121,0.564138668757121,0.564138668757121,0.564138668757121,0.5524936044937859,0.564138668757121,0.5524936044937859,0.564138668757121
2010-12-06,-0.11758329960654007,-0.11758329960654007,-0.11758329960654007,-0.11758329960654007,-0.11758329960654007,-0.11758329960654007,-0.11758329960654007,-0.11758329960654007,-0.11758329960654007,-0.11758329960654007,-0.11758329960654007
2010-12-07,0.1293896029259452,0.1293896029259452,0.1293896029259452,0.1293896029259452,0.1293896029259452,0.1293896029259452,0.1293896029259452,0.1293896029259452,0.1293896029259452,0.1293896029259452,0.1293896029259452
